uid,Nudge,Lever,Ramp,Pendulum,Springboard,Down Hill,Lead the Ball,Chocolate Factory,Around the Tree,Big Watermill,Sunny Day,Wavy,On the Upswing,Shark,One at a time,Scale,Cloudy Day,Crazy Seesaw,Roller coaster,Uphill Battle,Little Mermaid,Ultimate Pinball,Yippie!,Diving Board,Stiff Curtains,Diving Board World,Need Fulcrum,Timing is Everything,Perfect Toss,Up in the Air,Spider Web,Can Opener,quit,silver,gold
C2080,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,NA,NA,NA,silver,silver,silver,NA,silver,NA,NA,NA,NA,NA,NA,quit,quit,NA,silver,gold,quit,NA,gold,3,10,7
F2068,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,gold,silver,gold,silver,gold,quit,silver,NA,NA,NA,NA,NA,NA,quit,quit,gold,quit,gold,NA,NA,NA,4,8,11
F2024,silver,silver,silver,quit,NA,NA,silver,gold,NA,gold,NA,NA,NA,NA,NA,gold,quit,NA,quit,NA,NA,NA,NA,quit,NA,NA,NA,NA,quit,NA,NA,quit,6,4,3
F3182,silver,silver,silver,silver,silver,silver,silver,gold,gold,quit,quit,NA,NA,quit,silver,silver,NA,silver,NA,NA,NA,NA,NA,NA,quit,quit,quit,quit,quit,quit,NA,NA,9,10,2
C3834,silver,silver,silver,silver,silver,silver,gold,gold,gold,NA,NA,NA,NA,NA,gold,gold,NA,gold,quit,NA,NA,NA,NA,NA,quit,quit,silver,quit,quit,silver,NA,silver,5,9,6
D2372,quit,silver,silver,silver,silver,silver,gold,quit,gold,quit,gold,gold,gold,quit,gold,gold,quit,silver,NA,quit,quit,silver,gold,NA,quit,quit,quit,quit,quit,quit,quit,NA,14,7,8
A3193,silver,silver,silver,silver,silver,gold,gold,gold,gold,NA,NA,NA,NA,NA,NA,gold,NA,quit,NA,NA,NA,NA,NA,NA,silver,quit,silver,gold,quit,quit,NA,NA,4,7,6
C3092,silver,silver,silver,silver,silver,silver,gold,quit,quit,quit,quit,NA,NA,gold,gold,gold,NA,quit,NA,NA,NA,NA,NA,NA,silver,quit,quit,quit,quit,NA,NA,NA,9,7,4
C0178,silver,silver,silver,silver,silver,gold,gold,NA,quit,quit,silver,quit,quit,quit,gold,gold,gold,quit,gold,quit,quit,quit,silver,gold,quit,NA,gold,quit,silver,quit,gold,quit,13,8,9
D3508,silver,silver,silver,silver,silver,NA,gold,gold,gold,quit,quit,silver,quit,quit,gold,gold,gold,gold,quit,gold,quit,quit,silver,quit,silver,quit,quit,quit,gold,gold,quit,gold,12,8,11
