"","uid","context","timestamp","currentMoney","appId","mess","money","onWhat","LS_duration","learningSupportType"
"115","A3328","Big Watermill","2022-11-29 08:47:28",NA,NA,"LS Watched",NA,"physAnim_ramp",18.8989999294281,"physAnim_ramp"
"116","C3104","Little Mermaid","2022-11-29 08:48:03",NA,NA,"LS Watched",NA,"physAnim_springboard",2.3510000705719,"physAnim_springboard"
"117","A0202","Wavy","2022-11-29 08:48:20",NA,NA,"LS Watched",NA,"physAnim_lever",6.23900008201599,"physAnim_lever"
"118","E0224","Crazy Seesaw","2022-11-29 08:48:28",NA,NA,"LS Watched",NA,"hint",1.52900004386902,"hint"
"119","D0077","Scale","2022-11-29 08:48:47",NA,NA,"LS Watched",NA,"",0,""
"120","C0022","Wavy","2022-11-29 08:48:47",NA,NA,"LS Watched",NA,"physAnim_lever",129.799999952316,"physAnim_lever"
"121","A0011","Chocolate Factory","2022-11-29 08:49:00",NA,NA,"LS Watched",NA,"",0,""
"122","C3429","Little Mermaid","2022-11-29 08:49:06",NA,NA,"LS Watched",NA,"physAnim_springboard",117.196000099182,"physAnim_springboard"
"123","A3294","Sunny Day","2022-11-29 08:49:30",NA,NA,"LS Watched",NA,"physAnim_lever",10.5929999351501,"physAnim_lever"
"124","F3452","Sunny Day","2022-11-29 08:49:35",NA,NA,"LS Watched",NA,"game_tools",28.2339999675751,"game_tools"
"125","F3452","Sunny Day","2022-11-29 08:49:35",NA,NA,"LS Watched",NA,"",28.234,""
"126","C3115","Little Mermaid","2022-11-29 08:49:37",NA,NA,"LS Watched",NA,"physAnim_springboard",1.30399990081787,"physAnim_springboard"
"127","E0550","Crazy Seesaw","2022-11-29 08:49:45",NA,NA,"LS Watched",NA,"hint",46.0989999771118,"hint"
"128","C3104","Little Mermaid","2022-11-29 08:49:46",NA,NA,"LS Watched",NA,"physAnim_springboard",103.769999980927,"physAnim_springboard"
"129","C0066","Sunny Day","2022-11-29 08:49:55",NA,NA,"LS Watched",NA,"",0,""
"130","E0549","Crazy Seesaw","2022-11-29 08:50:00",NA,NA,"LS Watched",NA,"game_tools",1.40700006484985,"game_tools"
"131","E0549","Crazy Seesaw","2022-11-29 08:50:00",NA,NA,"LS Watched",NA,"",1.407,""
"132","E0549","Crazy Seesaw","2022-11-29 08:50:04",NA,NA,"LS Watched",NA,"hint",3.18300008773804,"hint"
