"","uid","context","timestamp","blowerManip","BouncinessRun","Agent","ApplicableAgent","ObjectCount","TrophyLevel","NumberAttempts","PufferClicks","massManip","airManip","gravityManip","Duration","SliderAdjust","AppropriateSlider","bankBalance","helpBClicked","LeftBlower","RightBlower","TopBlower","BottomBlower"
"51","C3104","Ramp","2022-11-29 08:23:09",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"52","C3115","Down Hill","2022-11-29 08:23:10",NA,NA,NA,NA,0,"gold",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"53","A3430","Pendulum","2022-11-29 08:23:14",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"54","F3452","Pendulum","2022-11-29 08:23:24",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"55","A3328","Pendulum","2022-11-29 08:23:26",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"56","C3429","Ramp","2022-11-29 08:23:28",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"57","C3115","Lead the Ball","2022-11-29 08:23:33",NA,NA,NA,NA,0,"gold",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"58","D3418","Springboard","2022-11-29 08:23:34",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"59","F3126","Lever","2022-11-29 08:23:40",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"60","C3104","Pendulum","2022-11-29 08:23:40",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"61","E3463","Ramp","2022-11-29 08:23:43",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"62","D3418","Lead the Ball","2022-11-29 08:23:49",NA,NA,NA,NA,0,"gold",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"63","C3148","Springboard","2022-11-29 08:23:49",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"64","D3317","Springboard","2022-11-29 08:23:50",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"65","C0022","Nudge","2022-11-29 08:24:04",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"66","D3137","Springboard","2022-11-29 08:24:05",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"67","A3294","Springboard","2022-11-29 08:24:07",NA,NA,NA,NA,0,"silver",2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"68","C3429","Pendulum","2022-11-29 08:24:11",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"69","A3430","Springboard","2022-11-29 08:24:26",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"70","C3148","Down Hill","2022-11-29 08:24:27",NA,NA,NA,NA,0,"gold",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"71","A3339","Ramp","2022-11-29 08:24:27",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"72","D3317","Lead the Ball","2022-11-29 08:24:38",NA,NA,NA,NA,0,"gold",3,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"73","F3126","Ramp","2022-11-29 08:24:46",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"74","E3384","Ramp","2022-11-29 08:24:48",NA,NA,NA,NA,0,"silver",2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"75","A3339","Pendulum","2022-11-29 08:24:50",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"76","A3430","Down Hill","2022-11-29 08:24:57",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"77","F3126","Pendulum","2022-11-29 08:25:18",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"78","C3148","Lead the Ball","2022-11-29 08:25:32",NA,NA,NA,NA,0,"gold",2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"79","C0022","Lever","2022-11-29 08:25:35",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"80","E3384","Pendulum","2022-11-29 08:25:38",NA,NA,NA,NA,0,"silver",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
