"","StudyID","ID1","ID2","Midtest","Posttest","Condition","CognitiveSupports","AffectiveECD","AffectivePOT","Progress","Duration (in seconds)","Finished","RecordedDate","Age","Sex","American Indian or Alaska Native","Asian","Black or African American","Hispanic","Native Hawaiian or Pacific Islander","White","Other (enter)","Prefer not to say","Other_TEXT","Gaming","Physics","A-NQ1","A-NQ2","A-NQ3","A-NQ4","A-NQ5","A-NQ6","A-NQ7","A-NQ8","A-NQ9","A-NQ10","A-NQ11","A-NQ12","A-NQ13","A-NQ14","A-FQ1","A-FQ2","A-FQ3","A-FQ4","A-FQ5","A-FQ6","A-FQ7","A-FQ8","A-FQ9","A-FQ10","A-FQ11","A-FQ12","A-FQ13","A-FQ14","SC0","Gender","Ethnicity","A-NQ1_scored","A-NQ2_scored","A-NQ3_scored","A-NQ4_scored","A-NQ5_scored","A-NQ6_scored","A-NQ7_scored","A-NQ8_scored","A-NQ9_scored","A-NQ10_scored","A-NQ11_scored","A-NQ12_scored","A-NQ13_scored","A-NQ14_scored","A-FQ1_scored","A-FQ2_scored","A-FQ3_scored","A-FQ4_scored","A-FQ5_scored","A-FQ6_scored","A-FQ7_scored","A-FQ8_scored","A-FQ9_scored","A-FQ10_scored","A-FQ11_scored","A-FQ12_scored","A-FQ13_scored","A-FQ14_scored","NearECT","FarECT","NearPOT","FarPOT","Near","Far","ECT","POT","PhysicsScore","Progress.ect","Duration (in seconds).ect","Finished.ect","RecordedDate.ect","IMI_1","IMI_2","IMI_3","IMI_4","IMI_5","IMI_6","IMI_7","IMI_8","IMI_9","IMI_10","IMI_11","IMI_12","IMI_13","IMI_14","IMI_15","IMI_16","IMI_17","IMI_18","A-NQ1.ect","A-NQ2.ect","A-NQ3.ect","A-NQ4.ect","A-NQ5.ect","A-NQ6.ect","A-NQ7.ect","A-NQ8.ect","A-NQ12.ect","A-NQ13.ect","A-NQ14.ect","A-FQ1.ect","A-FQ2.ect","A-FQ3.ect","A-FQ4.ect","A-FQ5.ect","A-FQ6.ect","A-FQ7.ect","A-FQ8.ect","Q90","Q74","PA1","PA2","PA3","PA4","PA5","PA6","PA7","SC0.ect","A-NQ1_scored.ect","A-NQ2_scored.ect","A-NQ3_scored.ect","A-NQ4_scored.ect","A-NQ5_scored.ect","A-NQ6_scored.ect","A-NQ7_scored.ect","A-NQ8_scored.ect","A-NQ12_scored.ect","A-NQ13_scored.ect","A-NQ14_scored.ect","A-FQ1_scored.ect","A-FQ2_scored.ect","A-FQ3_scored.ect","A-FQ4_scored.ect","A-FQ5_scored.ect","A-FQ6_scored.ect","A-FQ7_scored.ect","A-FQ8_scored.ect","NearECTpost","FarECTpost","ECTpost","IMI","IMI_Enj","IMI_Eng","IMI_PC","IMI_Effort","IMI_Frust","IMI_Value","PA","Progress.pot","Duration (in seconds).pot","Finished.pot","RecordedDate.pot","IMI_1.pot","IMI_2.pot","IMI_3.pot","IMI_4.pot","IMI_5.pot","IMI_6.pot","IMI_7.pot","IMI_8.pot","IMI_9.pot","IMI_10.pot","IMI_11.pot","IMI_12.pot","IMI_13.pot","IMI_14.pot","IMI_15.pot","IMI_16.pot","IMI_17.pot","IMI_18.pot","A-NQ9.pot","A-NQ10.pot","A-NQ11.pot","A-NQ12.pot","A-NQ13.pot","A-NQ14.pot","A-FQ9.pot","A-FQ10.pot","A-FQ11.pot","A-FQ12.pot","A-FQ13.pot","A-FQ14.pot","Q90.pot","Q74.pot","PA1.pot","PA2.pot","PA3.pot","PA4.pot","PA5.pot","PA6.pot","PA7.pot","SC0.pot","A-NQ9_scored.pot","A-NQ10_scored.pot","A-NQ11_scored.pot","A-NQ12_scored.pot","A-NQ13_scored.pot","A-NQ14_scored.pot","A-FQ9_scored.pot","A-FQ10_scored.pot","A-FQ11_scored.pot","A-FQ12_scored.pot","A-FQ13_scored.pot","A-FQ14_scored.pot","NearPOTpost","FarPOTpost","POTpost","IMI.pot","IMI_Enj.pot","IMI_Eng.pot","IMI_PC.pot","IMI_Effort.pot","IMI_Frust.pot","IMI_Value.pot","PA.pot"
"61","D0921","240dd1","240dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,1130,1,2022-11-28 18:43:01,14,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Never","Yes","C","B","B","A","A","A","B","D","B","A","A","B","B","D","B","C","B","D","B","B","B","B","A","A","A","B","B","B",13,"Female","White",0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,4,3,2,3,6,6,7,5,12,100,162,1,2022-12-02 18:53:12,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,1,4,4,"A","A","B","A","B","B","C","A","B","C","B","A","B","B","A","A","B","A","B",NA,5,NA,NA,NA,NA,NA,NA,NA,10,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,4,5,9,71,8,12,16,18,9,8,0,100,353,1,2022-11-30 18:58:31,4,5,5,7,5,5,5,4,5,4,6,4,5,5,2,1,5,4,"B","B","A","B","C","B","B","B","A","B","C","B","D0921",4,2,3,5,4,4,3,5,8,1,0,0,1,0,1,1,1,1,1,1,1,6,5,11,81,9,17,19,19,8,9,26
"62","D0932","212dd1","212dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,1171,1,2022-11-28 18:43:09,15,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Once a month or less","Yes","A","B","B","A","C","A","B","A","B","C","D","B","B","B","A","C","C","D","B","A","A","C","B","B","B","C","C","B",22,"Female","White",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,7,4,4,4,11,8,11,8,19,100,197,1,2022-12-02 18:52:59,4,5,3,4,4,3,4,4,4,4,4,2,4,4,1,4,4,4,"A","B","B","B","B","B","B","A","B","A","A","A","B","C","A","B","A","B","B",NA,5,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,5,5,10,66,9,11,15,14,9,8,0,100,275,1,2022-11-30 18:57:11,4,4,5,4,3,2,4,4,5,4,4,3,5,4,1,4,4,2,"B","A","A","B","A","A","B","B","B","B","C","B",NA,4,3,2,2,2,3,2,3,6,1,0,0,1,1,0,1,1,0,1,1,1,4,3,7,66,8,12,15,16,9,6,17
"63","E0943","277ed1","277ed2","POT","ECT","E",FALSE,FALSE,FALSE,100,1078,1,2022-11-28 18:43:36,15,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Once a month or less","No","A","B","B","A","C","B","B","B","B","C","A","B","A","B","A","B","C","D","B","C","A","B","C","B","B","A","B","C",16,"Female","White",1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,6,6,5,1,11,7,12,6,18,100,211,1,2022-12-02 18:54:06,5,3,5,5,4,4,5,5,3,4,2,5,6,4,5,4,4,3,"B","A","B","A","C","B","A","B","B","B","B","B","A","C","D","B","C","A","B",NA,5,NA,NA,NA,NA,NA,NA,NA,10,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,3,4,7,76,8,14,17,17,13,7,0,100,377,1,2022-11-30 18:59:37,3,4,4,7,5,3,3,4,3,5,6,4,4,1,1,2,4,2,"B","A",NA,"B","A","A","B","A","A","A","B","C","E0943",5,NA,NA,NA,NA,NA,NA,NA,5,1,0,0,1,1,0,1,0,1,0,0,0,2,2,4,65,7,16,13,19,4,6,0
"64","A0954","057ad1","057ad2","ECT","POT","A",TRUE,FALSE,TRUE,100,668,1,2022-11-28 18:35:11,15,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Every day","Yes","B","B","B","C","A","A","B","B","B","A","B","B","B","B","A","C","C","D","B","B","C","B","B","B","A","B","C","A",18,"Male","White",0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,3,5,4,5,7,10,8,9,17,100,314,1,2022-11-30 18:57:29,4,5,5,5,6,4,4,4,1,4,4,4,5,1,6,1,4,4,"A","B","B","B","C","A","B","C","B","C","B","B","C","C","C","B","C","A","B",NA,4,4,2,4,2,2,3,2,12,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,5,4,9,71,9,16,13,17,8,8,19,100,172,1,2022-12-02 18:47:46,1,2,6,1,2,1,2,5,7,2,6,1,1,1,1,2,1,1,"B","C",NA,"A","A","B","A","B","B","B","C","B",NA,4,3,2,3,4,2,2,3,6,1,1,0,0,1,1,0,1,0,1,1,1,4,3,7,43,3,9,15,10,4,2,19
"65","C0976","145cd1","145cd2","ECT","POT","C",TRUE,TRUE,FALSE,100,757,1,2022-11-28 17:39:33,12,"Nonbinary",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Once a month or less","Yes","A","B","B","A","C","A","B","A","B","A","D","B","A","A","A","B","B","D","B","B","A","B","B","A","A","C","C","B",19,"Other","White",1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,7,6,3,4,10,10,13,7,20,100,470,1,2022-11-30 18:00:58,7,7,7,7,6,5,5,4,3,6,7,5,6,2,3,4,6,3,"A","B","B","A","C","A","B","A","B","B","B","B","C","C","D","B","B","A","B","C0976",4,2,4,3,3,3,3,5,16,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,7,5,12,93,14,20,17,24,9,9,23,100,354,1,2022-12-02 17:59:18,7,7,6,7,6,5,4,4,6,4,6,5,5,1,2,2,6,3,"B","C",NA,"B","B","B","C","B","A","C","C","B","C0976",4,4,5,5,4,4,3,5,10,1,1,0,1,0,1,0,1,1,0,1,1,5,5,10,86,14,19,19,20,5,9,30
"66","D1012","213dd1","213dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,1014,1,2022-11-28 17:43:04,12,"Male",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Every day","No","A","B","C","C","D","A","B","D","B","C","B","B","B","C","A","C","C","C","B","B","A","B","B","B","A","D","C","D",19,"Male","Black or African American",1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,3,6,4,4,7,10,9,8,17,100,616,1,2022-12-02 18:03:56,5,6,7,7,6,5,7,6,5,7,7,7,7,1,1,1,6,5,"A","B","B","C","A","B","B","D","B","B","B","A","C","C","C","B","B","A","B","D1012",4,3,3,1,2,3,3,5,14,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,4,6,10,96,11,20,23,28,3,11,20,100,442,1,2022-11-30 18:00:23,6,6,7,7,6,4,6,5,4,7,7,7,7,1,7,3,6,5,"B","C",NA,"B","B","B","B","A","A","B","C","B","D1012",4,2,3,2,0,0,2,3,9,1,1,0,1,0,1,1,0,1,1,1,1,2,3,5,101,12,20,19,28,11,11,12
"67","D1056","266dd1","266dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,687,1,2022-11-28 18:35:27,14,"Male",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","B","A","A","D","A","A","C","B","C","D","B","D","C","A","A","C","C","B","B","C","B","B","B","A","C","C","B",17,"Male","Mixed",1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,3,5,3,5,6,10,8,8,16,100,221,1,2022-12-02 18:49:14,4,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,"A","A","B","A","A","B","A","A","C","A","B","C","A","A","A","B","A","B","B","D1056",4,3,3,3,0,2,2,3,7,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,4,2,6,75,9,12,16,18,12,8,16,100,168,1,2022-11-30 18:56:47,4,4,4,5,4,3,3,4,3,5,6,5,5,2,2,5,4,4,"B","C",NA,"C","B","B","A","B","B","B","C","B",NA,4,3,2,2,3,3,3,2,7,1,1,0,0,0,1,0,1,0,1,1,1,5,5,10,72,8,13,13,21,9,8,18
"68","E1067","311ed1","311ed2","POT","ECT","E",FALSE,FALSE,FALSE,100,1651,1,2022-11-28 18:52:55,15,"Male",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Once a week","No","A","B","A","A","C","C","B","A","B","C","C","C","B","B","A","C","C","C","B","A","A","B","B","B","A","C","B","A",21,"Male","Black or African American",1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,7,5,3,3,10,8,12,6,18,100,1318,1,2022-12-02 19:05:46,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,4,7,7,"A","B","B","A","C","C","B","A","B","B","B","A","C","C","B","B","B","B","B","E1067",5,NA,NA,NA,NA,NA,NA,NA,18,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,8,6,14,111,14,21,28,28,6,14,0,100,425,1,2022-11-30 19:00:30,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,3,7,NA,"B","C",NA,"B","B","B","B","B","A","C","B","A","E1067",5,NA,NA,NA,NA,NA,NA,NA,10,1,1,0,1,0,1,1,1,1,0,0,0,5,4,9,110,14,21,28,28,12,7,0
"69","D1078","225dd1","225dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,1929,1,2022-11-28 17:33:11,16,"Female",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","A","B","A","D","A","B","B","B","C","D","B","B","B","A","C","C","C","B","A","B","B","B","B","C","D","C","C",17,"Female","Black or African American",1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,4,4,4,3,8,7,8,7,15,100,542,1,2022-12-02 17:18:27,4,5,6,6,4,5,3,5,7,4,6,5,6,5,6,4,4,3,"A","D","B","A","D","A","B","B","B","A","B","A","C","C","C","B","A","B","B","D1078",4,4,3,2,2,3,3,3,11,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,4,4,8,88,9,16,20,21,15,7,20,100,478,1,2022-11-30 17:24:09,4,6,7,7,3,4,2,5,6,4,7,5,6,3,6,4,3,1,"B","C",NA,"B","A","B","B","B","A","D","C","B","D1078",4,3,4,2,2,2,3,4,9,1,1,0,1,1,1,1,1,1,0,1,1,4,3,7,83,10,17,17,22,13,4,20
"70","A1089","055ad1","055ad2","ECT","POT","A",TRUE,FALSE,TRUE,100,1016,1,2022-11-28 17:43:54,12,"Female",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Never","Yes","A","B","A","A","A","A","B","A","B","A","B","B","A","B","B","A","B","A","B","A","C","C","B","B","B","B","C","A",13,"Female","Mixed",1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,5,1,5,4,10,5,6,9,15,100,843,1,2022-11-30 18:07:14,1,3,3,5,3,2,4,3,NA,4,5,4,6,2,1,2,3,3,"A","B","B","A","C","B","B","A","B","A","B","A","C","C","A","B","A","C","C","A1089",4,4,4,3,3,2,1,2,13,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,7,3,10,54,4,11,9,19,5,6,19,100,356,1,2022-12-02 17:59:27,2,4,4,5,4,2,3,3,1,4,3,4,5,2,2,1,2,3,"B","C","A","B","B","B","B","A","B","B","B","A","A1089",4,2,1,2,2,1,1,5,6,1,1,0,1,0,1,1,0,0,1,0,0,1,2,3,54,6,13,9,16,5,5,14
"71","E1090","313ed1","313ed2","POT","ECT","E",FALSE,FALSE,FALSE,100,810,1,2022-11-28 17:39:59,13,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Never","Yes","A","B","C","C","C","C","B","A","B","C","B","B","B","B","B","C","A","D","B","D","A","B","B","B","D","C","C","D",20,"Female","White",1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,6,3,5,3,11,6,9,8,17,100,531,1,2022-12-02 18:02:32,6,6,7,7,6,5,4,5,4,6,6,6,6,2,2,1,6,5,"A","B","B","A","C","B","B","A","B","B","B","B","C","A","D","B","C","A","B","313ed1",5,NA,NA,NA,NA,NA,NA,NA,14,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,7,3,10,90,12,20,18,24,5,11,0,100,393,1,2022-11-30 17:59:37,6,5,6,7,4,2,6,4,4,5,6,5,6,2,3,2,4,4,"B","A",NA,"B","B","B","B","B","A","C","C","C","E1090",5,NA,NA,NA,NA,NA,NA,NA,10,1,0,0,1,0,1,1,1,1,0,1,0,4,3,7,81,11,17,16,22,7,8,0
"72","C1135","184cd1","184cd2","ECT","POT","C",TRUE,TRUE,FALSE,100,898,1,2022-11-28 17:07:55,14,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Every day","Yes","A","B","B","A","D","A","B","A","B","A","D","B","B","B","A","C","C","C","B","C","A","B","B","B","A","C","C","A",21,"Male","White",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,6,5,3,4,9,9,11,7,18,100,352,1,2022-11-30 17:20:27,6,6,1,5,4,3,2,5,4,3,5,4,4,2,5,3,3,5,"A","B","B","A","C","A","B","A","B","B","B","A","C","C","C","B","C","A","B","C1135",4,3,3,3,2,3,4,3,16,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,7,5,12,70,12,10,14,16,10,8,21,100,260,1,2022-12-02 17:24:45,6,6,6,6,5,4,4,6,6,6,6,6,6,3,5,3,5,4,"B","C",NA,"B","B","B","B","C","A","C","C","A","C1135",4,4,2,3,2,3,1,3,9,1,1,0,1,0,1,1,0,1,0,1,0,4,5,9,93,12,17,20,24,11,9,18
"73","B1146","136bd1","136bd2","POT","ECT","B",TRUE,TRUE,FALSE,100,390,1,2022-11-29 19:36:31,12,"Male",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"Every day","No","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","B",7,"Male","Mixed",1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,2,1,2,4,4,5,3,8,100,100159,1,2022-12-05 08:32:03,5,7,6,7,5,7,5,7,6,7,1,7,7,5,5,4,4,5,"A","B","A","A","C","B","B","A","B","C","D","B","C","C","C","B","A","C","B","B1146",4,3,1,2,2,0,0,3,11,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,6,3,9,100,12,18,25,22,14,9,11,62,873,0,2022-12-07 19:59:20,4,7,7,4,4,4,6,7,4,7,7,7,7,1,4,7,7,7,NA,"B",NA,"B","B","D","A","B","A","A","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,0,1,0,0,0,1,1,0,1,NA,5,5,10,101,11,15,21,28,12,14,0
"74","B1157","094bd1","094bd2","POT","ECT","B",TRUE,TRUE,FALSE,100,1277,1,2022-11-28 19:50:12,12,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Every day","Yes","A","D","B","A","A","B","B","A","D","C","B","B","C","A","A","C","C","C","B","D","A","B","A","B","A","B","C","B",18,"Male","White",1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,5,5,3,5,8,10,10,8,18,100,611,1,2022-12-02 19:59:47,7,7,7,7,7,4,1,7,6,7,7,7,7,1,4,1,7,7,"A","B","B","A","C","B","B","A","B","A","B","A","D","B","C","B","A","C","B","B1157",4,1,1,1,0,0,0,3,12,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,7,3,10,101,14,21,18,28,6,14,6,100,527,1,2022-11-30 19:53:46,4,6,7,7,NA,4,1,7,7,5,7,6,6,4,6,4,7,7,"B","C","A","B","A","B","B","A","C","D","C","B",NA,4,1,1,1,0,0,0,3,7,1,1,0,1,1,1,1,0,0,0,1,1,1,4,5,95,10,14,19,24,14,14,6
"75","C1168","164cd1","164cd2","ECT","POT","C",TRUE,TRUE,FALSE,100,1279,1,2022-11-28 17:12:38,14,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Every day","No","D","B","B","A","C","D","B","A","B","B","B","A","B","D","D","C","D","C","D","B","C","B","A","B","A","C","C","B",17,"Male","White",0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,6,2,2,4,8,6,8,6,14,100,581,1,2022-11-30 17:24:31,6,4,5,5,3,6,4,5,6,4,3,4,5,2,4,1,2,2,"A","B","B","A","C","D","B","A","B","B","B","B","C","C","D","D","D","A","B","C1168",4,3,2,3,1,3,3,4,14,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,7,3,10,71,10,13,21,16,7,4,19,100,320,1,2022-12-02 17:25:41,4,5,5,5,3,2,1,4,4,3,6,5,5,4,3,3,4,2,"B","C",NA,"B","B","B","B","B","A","C","C","B","C1168",4,2,2,3,2,2,3,3,11,1,1,0,1,0,1,1,1,1,0,1,1,4,6,10,68,9,13,11,19,10,6,17
"76","D1179","256dd1","256dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,762,1,2022-11-28 17:38:38,13,"Male",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Every day","Yes","A","B","B","A","C","A","B","A","B","C","B","B","B","B","A","C","C","D","B","A","A","B","C","B","A","C","C","A",23,"Male","Asian",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,7,5,5,3,12,8,12,8,20,100,361,1,2022-12-02 17:59:42,6,7,6,5,6,6,4,6,6,5,6,6,4,3,6,5,5,4,"A","B","B","A","C","C","B","A","B","B","B","A","C","C","C","B","B","A","B","D1179",4,2,2,2,2,3,2,4,18,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,8,6,14,96,13,17,22,21,14,9,17,100,292,1,2022-11-30 17:59:06,7,7,7,7,7,7,5,7,6,7,4,6,7,5,7,7,7,4,"B","C","A","B","B","B","B","A","A","C","C","B","D1179",4,2,2,1,3,3,2,4,10,1,1,0,1,0,1,1,0,1,0,1,1,3,2,5,114,14,21,25,24,19,11,17
"77","C1180","161cd1","161cd2","ECT","POT","C",TRUE,TRUE,FALSE,100,976,1,2022-11-28 17:41:18,12,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","B","D","A","C","A","C","A","B","C","D","B","B","B","A","C","C","C","B","C","B","B","B","B","D","C","C","B",20,"Male","White",1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,5,4,4,4,9,8,9,8,17,100,449,1,2022-11-30 18:01:15,6,5,5,5,6,5,6,7,5,5,4,5,6,2,5,4,5,6,"A","B","B","A","C","A","B","A","B","B","B","A","C","C","C","C","C","A","B","C1180",4,3,5,2,4,4,3,5,15,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,7,4,11,92,11,16,23,20,11,11,26,100,287,1,2022-12-02 17:58:26,5,5,5,4,5,5,4,6,5,6,6,6,6,4,4,4,5,6,"B","C","A","B","B","B","B","B","D","A","C","B","C1180",4,2,4,2,4,4,2,5,9,1,1,0,1,0,1,1,1,0,0,1,1,4,5,9,91,10,14,20,24,12,11,23
"78","F1191","351fd1","351fd2","ECT","POT","F",FALSE,FALSE,FALSE,100,1072,1,2022-11-28 17:43:23,12,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Every day","No","A","B","D","A","C","D","D","A","B","C","B","B","A","B","A","D","A","D","B","D","A","B","B","A","D","D","C","B",17,"Male","White",1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,5,4,6,3,11,7,9,9,18,100,400,1,2022-11-30 18:02:09,5,7,7,7,6,3,4,4,5,5,7,4,6,1,4,3,5,4,"A","B","B","A","A","A","D","A","B","B","B","A","D","C","B","B","D","A","B","F1191",5,NA,NA,NA,NA,NA,NA,NA,14,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,5,6,11,87,12,20,16,22,8,9,0,100,366,1,2022-12-02 17:57:43,5,6,6,6,5,4,4,4,4,5,6,5,6,1,4,3,4,4,"B","C",NA,"B","C","B","B","B","D","B","B","B","F1191",5,NA,NA,NA,NA,NA,NA,NA,7,1,1,0,1,0,1,1,1,0,1,0,1,5,1,6,82,11,17,16,22,8,8,0
"79","D1203","206dd1","206dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,1335,1,2022-11-28 17:47:44,12,"Female",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Every day","No","A","B","C","A","C","B","B","A","B","A","B","B","D","B","A","C","C","C","B","B","A","B","B","B","C","B","C","B",21,"Female","Mixed",1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,6,6,4,5,10,11,12,9,21,100,407,1,2022-12-02 18:00:19,7,6,7,7,7,6,4,6,6,7,7,7,7,1,6,2,6,5,"A","B","A","A","C","A","B","B","B","A","B","C","C","B","C","B","B","A","B",NA,4,2,2,2,1,2,2,3,12,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,5,4,9,104,13,21,22,28,9,11,14,100,526,1,2022-11-30 18:01:46,7,6,7,7,5,5,4,5,4,7,7,7,6,1,1,3,6,5,"B","B",NA,"B","A","B","B","B","B","B","C","B",NA,4,4,2,1,1,2,3,3,8,1,0,0,1,1,1,1,1,0,1,1,1,4,3,7,93,13,19,18,27,5,11,16
"80","B1214","100bd1","100bd2","POT","ECT","B",TRUE,TRUE,FALSE,100,1281,1,2022-11-28 17:49:03,13,"Male",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Once a week","Yes","A","C","D","A","D","B","B","C","D","D","B","A","C","D","B","C","C","C","A","C","B","B","B","A","B","B","D","C",8,"Male","Black or African American",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,3,2,1,2,4,4,5,3,8,100,545,1,2022-12-02 18:02:50,3,5,6,5,3,1,6,3,1,4,5,3,6,1,1,1,4,1,"A","B","B","A","D","B","B","D","B","B","A","D","C","C","C","A","C","B","C","B1214",4,2,3,2,2,0,2,3,9,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5,1,6,59,8,14,11,18,3,5,14,100,642,1,2022-11-30 18:05:33,4,5,4,4,4,1,4,5,6,4,7,NA,7,1,1,5,2,3,"A","B",NA,"B","C","B","A","A","D","B","B","C","B1214",4,1,3,3,0,0,3,4,2,0,0,0,1,0,1,0,0,0,1,0,0,3,3,6,67,9,12,16,18,7,5,14
